Theta,A-X (meter),A-Y (meter),B-X (meter),B-Y (meter),C-X (meter),C-Y (meter),D-X (meter),D-Y (meter),D0-X (meter),D0-Y (meter),A-X Vel (meter/sec),A-Y Vel (meter/sec),B-X Vel (meter/sec),B-Y Vel (meter/sec),C-X Vel (meter/sec),C-Y Vel (meter/sec),D-X Vel (meter/sec),D-Y Vel (meter/sec),D0-X Vel (meter/sec),D0-Y Vel (meter/sec),A-X Acc (meter/sec**2),A-Y Acc (meter/sec**2),B-X Acc (meter/sec**2),B-Y Acc (meter/sec**2),C-X Acc (meter/sec**2),C-Y Acc (meter/sec**2),D-X Acc (meter/sec**2),D-Y Acc (meter/sec**2),D0-X Acc (meter/sec**2),D0-Y Acc (meter/sec**2)
-0.566009102,0.016398545,0.025810158,-0.049173985,0.089929809,0.293730965,0.160109546,0.309289995,0.155212758,-0.036057734,0.077105879,-0.081081917,0.051464679,-0.022745291,0.111135617,0.135767907,-0.663374874,0.13710907,-0.659120265,-0.034412615,0.099201428,-0.161674901,-0.254736052,0.249764726,0.057504372,-1.490861888,-0.343246941,-1.50048021,-0.369702627,0.167476774,-0.00494372
-0.513665524,0.015025348,0.026632139,-0.04951798,0.091787901,0.295784293,0.149018489,0.311364395,0.144189055,-0.036607569,0.078756749,-0.083664147,0.047150487,-0.018513604,0.111702275,0.110508708,-0.666757288,0.111699149,-0.662923024,-0.031543712,0.098791916,-0.148121982,-0.262848677,0.257151636,0.009596973,-1.53495478,-0.057284889,-1.543511636,-0.081517514,0.176096868,-0.044892148
-0.461320763,0.013611014,0.027381123,-0.049790678,0.093648543,0.29741204,0.137912209,0.313010819,0.133143347,-0.037108594,0.080395059,-0.086017061,0.042707059,-0.014205548,0.111427771,0.084793658,-0.665118758,0.085845478,-0.661683911,-0.02856785,0.097683628,-0.134163071,-0.270240856,0.258786375,-0.04329385,-1.54471241,0.25842349,-1.552943885,0.234236471,0.180196424,-0.088683222
-0.408974767,0.012159422,0.028055058,-0.049991641,0.095497067,0.298611599,0.126878263,0.31422674,0.122163164,-0.037559683,0.082008666,-0.088134207,0.038146574,-0.009923536,0.110237083,0.059234067,-0.658011471,0.060143269,-0.655005474,-0.02556567,0.09581898,-0.119836428,-0.276892323,0.253922487,-0.100145396,-1.515679095,0.597773635,-1.524815629,0.569641161,0.17917063,-0.135494731
-0.356627489,0.01067455,0.028652095,-0.050122231,0.097317713,0.2993911,0.116010726,0.315020017,0.111341421,-0.03796113,0.083584589,-0.090009783,0.033481532,-0.0057802,0.108075089,0.034502251,-0.645106404,0.035238508,-0.642646357,-0.022626117,0.093156377,-0.105181326,-0.28278484,0.242096999,-0.159597586,-1.445091314,0.952647104,-1.457111466,0.913863249,0.172641255,-0.184234965
-0.304278882,0.009160467,0.029170599,-0.050185736,0.099094003,0.299770163,0.105407947,0.315409444,0.100773418,-0.03831475,0.085109322,-0.091638649,0.028724719,-0.00189286,0.104911815,0.011298499,-0.626224643,0.011789783,-0.62457019,-0.01984202,0.089674396,-0.090237931,-0.287902262,0.223224635,-0.220004784,-1.332440103,1.313221001,-1.350437878,1.253162083,0.160532049,-0.233584193
-0.251928901,0.007621324,0.029609148,-0.050187389,0.100809201,0.299780031,0.095169832,0.315424563,0.090553032,-0.038623901,0.086569191,-0.09301634,0.023889174,0.001623394,0.100746486,-0.009690214,-0.601361554,-0.009580236,-0.600991114,-0.017304555,0.085375024,-0.075047196,-0.292230571,0.197666749,-0.279527442,-1.179882511,1.66851495,-1.208562867,1.571355097,0.143123903,-0.282067975
-0.199577507,0.006061339,0.029966541,-0.05013427,0.102446817,0.299462964,0.085394808,0.315104612,0.080768262,-0.038893403,0.087950762,-0.09413908,0.01898815,0.004663442,0.095609744,-0.027836419,-0.570700054,-0.028339777,-0.572402742,-0.015097065,0.080285427,-0.059650758,-0.295757901,0.166258639,-0.336257977,-0.992404643,2.007142499,-1.03860505,1.851548558,0.121076729,-0.328157875
-0.14722466,0.004484788,0.030241797,-0.050035076,0.103991135,0.298870864,0.076176686,0.314496565,0.071496647,-0.039129357,0.089241267,-0.09500379,0.014035081,0.007139895,0.089563581,-0.04261848,-0.534610167,-0.044099948,-0.53955529,-0.013288845,0.074457884,-0.04409082,-0.298474577,0.130283247,-0.388367749,-0.777664637,2.318188445,-0.850397708,2.081070123,0.095408435,-0.370389049
-0.094870326,0.002895993,0.030434163,-0.049899759,0.105427717,0.298063151,0.067601645,0.313652468,0.062801992,-0.039338863,0.090429006,-0.095608102,0.009043543,0.008989931,0.082698765,-0.053661424,-0.493633694,-0.056642505,-0.503307494,-0.011929678,0.067967724,-0.02841004,-0.300373154,0.091387543,-0.434255859,-0.545493524,2.592097022,-0.654110506,2.261789712,0.067428059,-0.407479285
